Date,Open,High,Low,Close,Adj Close,Volume
2022-07-24,0.491254,0.507218,0.482887,0.500728,0.500728,1442539
2022-07-25,0.500728,0.500728,0.474790,0.474792,0.474792,1022878
2022-07-26,0.474792,0.510400,0.466981,0.509450,0.509450,2468684
2022-07-27,0.509449,0.566869,0.505327,0.562736,0.562736,2041097
2022-07-28,0.562738,0.621176,0.533788,0.605403,0.605403,10761471
2022-07-29,0.605403,0.657792,0.595920,0.653478,0.653478,12390029
2022-07-30,0.653478,0.742489,0.637738,0.706887,0.706887,12486880
2022-07-31,0.706887,0.736333,0.641849,0.684004,0.684004,13219582
2022-08-01,0.684004,0.688752,0.648778,0.662935,0.662935,11213952
2022-08-02,0.662935,0.685807,0.621904,0.672528,0.672528,10400472
2022-08-03,0.672529,0.852802,0.654190,0.792436,0.792436,14720232
2022-08-04,0.792436,0.970888,0.792436,0.949409,0.949409,19449375
2022-08-05,0.949406,1.187442,0.948695,1.132909,1.132909,21983134
2022-08-06,1.132910,1.145644,0.886995,0.914701,0.914701,18166142
2022-08-07,0.914701,1.071222,0.914701,1.024169,1.024169,14540197
2022-08-08,1.024171,1.084090,0.992304,1.004640,1.004640,15376976
2022-08-09,1.004640,1.015821,0.936234,0.992705,0.992705,13696690
2022-08-10,0.992705,1.064862,0.961821,1.038198,1.038198,10126755
2022-08-11,1.037953,1.116718,0.975270,1.039943,1.039943,4312295
2022-08-12,1.039909,1.127487,0.958959,1.031786,1.031786,8614845
2022-08-13,1.032029,1.032978,0.987793,0.997018,0.997018,4187448
2022-08-14,0.997141,1.087792,0.995095,1.044853,1.044853,10142109
2022-08-15,1.043748,1.145467,1.000302,1.033370,1.033370,8962346
2022-08-16,1.032861,1.080598,1.032141,1.068474,1.068474,3728288
2022-08-17,1.068355,1.131578,1.025438,1.026727,1.026727,5984346
2022-08-18,1.026915,1.052458,0.964920,0.968375,0.968375,3552256
2022-08-19,0.968604,0.969025,0.698883,0.765940,0.765940,13667525
2022-08-20,0.765968,0.784308,0.726525,0.751639,0.751639,2939786
2022-08-21,0.751539,0.775679,0.740645,0.773873,0.773873,2618358
2022-08-22,0.774396,0.774396,0.724745,0.745061,0.745061,3438995
2022-08-23,0.744189,0.840392,0.739290,0.823728,0.823728,4145630
2022-08-24,0.823701,0.884505,0.811031,0.865581,0.865581,3573105
2022-08-25,0.865074,0.947555,0.863683,0.940940,0.940940,5560786
2022-08-26,0.940590,1.107713,0.916098,1.006386,1.006386,17614110
2022-08-27,1.006082,1.075871,0.989615,1.018135,1.018135,10177301
2022-08-28,1.017968,1.147841,1.000865,1.083286,1.083286,12240948
2022-08-29,1.083234,1.687064,1.066644,1.620121,1.620121,44040483
2022-08-30,1.642444,2.196603,1.593947,1.869170,1.869170,55344430
2022-08-31,1.869373,2.108664,1.869373,2.018700,2.018700,19368698
2022-09-01,2.020160,2.077271,1.802863,1.902265,1.902265,15212841
2022-09-02,1.902612,1.902612,1.665361,1.708114,1.708114,14030213
2022-09-03,1.718235,1.936305,1.528842,1.860678,1.860678,24378477
2022-09-04,1.861155,2.018251,1.831868,2.002237,2.002237,16116471
2022-09-05,2.001374,2.011368,1.849164,1.874740,1.874740,13975913
2022-09-06,1.874691,1.938133,1.701829,1.739600,1.739600,17150007
2022-09-07,1.739434,1.863954,1.534587,1.791683,1.791683,28242590
2022-09-08,1.791683,1.810681,1.663670,1.784241,1.784241,13673687
2022-09-09,1.784282,1.907098,1.773481,1.859677,1.859677,14392762
2022-09-10,1.859744,1.877299,1.759405,1.797858,1.797858,9761999
2022-09-11,1.797739,2.036753,1.645355,1.981994,1.981994,25983244
2022-09-12,1.985652,2.005593,1.772410,1.986855,1.986855,30543823
2022-09-13,1.987163,2.065714,1.777060,1.810971,1.810971,18296613
2022-09-14,1.809741,1.883011,1.741429,1.848687,1.848687,16980111
2022-09-15,1.848687,1.860473,1.659479,1.688989,1.688989,13504143
2022-09-16,1.692017,1.693102,1.409461,1.457354,1.457354,18487793
2022-09-17,1.458511,1.586102,1.337948,1.337948,1.337948,13131311
2022-09-18,1.338415,1.419866,1.112033,1.168813,1.168813,16912655
2022-09-19,1.170267,1.313527,1.077995,1.279704,1.279704,15297394
2022-09-20,1.279600,1.280304,1.186807,1.191372,1.191372,7214562
2022-09-21,1.191180,1.237062,1.120017,1.148139,1.148139,8215208
2022-09-22,1.147913,1.438190,1.143385,1.419204,1.419204,10081943
2022-09-23,1.419941,1.489904,1.342870,1.433616,1.433616,11518748
2022-09-24,1.431556,1.517326,1.422943,1.470201,1.470201,11132830
2022-09-25,1.469637,1.555824,1.426337,1.452008,1.452008,10119414
2022-09-26,1.451339,1.462487,1.361628,1.381979,1.381979,10760991
2022-09-27,1.381622,1.489872,1.326431,1.408181,1.408181,9172880
2022-09-28,1.408200,1.421713,1.278199,1.366338,1.366338,9326765
2022-09-29,1.366099,1.396895,1.321330,1.338639,1.338639,7188285
2022-09-30,1.338605,1.390632,1.333792,1.353747,1.353747,7958209
2022-10-01,1.353437,1.366019,1.209798,1.258776,1.258776,7754558
2022-10-02,1.258906,1.262910,1.202616,1.223156,1.223156,6354309
2022-10-03,1.223174,1.285964,1.143569,1.278789,1.278789,8352277
2022-10-04,1.279016,1.304612,1.069265,1.185256,1.185256,22053524
2022-10-05,1.185106,1.188589,1.093475,1.115873,1.115873,8782114
2022-10-06,1.116004,1.176242,1.104270,1.114849,1.114849,6639675
2022-10-07,1.115035,1.124926,1.026906,1.044971,1.044971,8998262
2022-10-08,1.045116,1.070341,1.013463,1.029020,1.029020,4204498
2022-10-09,1.028534,1.032884,0.928348,0.987082,0.987082,7538740
2022-10-10,0.987082,0.991558,0.918026,0.924884,0.924884,5702536
2022-10-11,0.924451,0.924451,0.796346,0.814248,0.814248,9288119
2022-10-12,0.814035,0.934867,0.809940,0.839239,0.839239,6876342
2022-10-13,0.839239,0.900090,0.755110,0.863648,0.863648,14418289
2022-10-14,0.863760,0.922143,0.844681,0.872980,0.872980,5249090
2022-10-15,0.872668,0.884481,0.851546,0.853103,0.853103,3074778
2022-10-16,0.852917,0.888195,0.850695,0.884983,0.884983,2971274
2022-10-17,0.885098,1.049110,0.877663,0.971013,0.971013,8643106
2022-10-18,0.970321,1.023010,0.968102,0.999920,0.999920,6264583
2022-10-19,0.999838,1.003447,0.901856,0.904058,0.904058,5402333
2022-10-20,0.897910,0.928382,0.886701,0.903972,0.903972,8036143
2022-10-21,0.904059,0.921835,0.869896,0.912118,0.912118,4620369
2022-10-22,0.911491,0.940984,0.905371,0.930417,0.930417,3468785
2022-10-23,0.930103,1.011939,0.929803,1.001715,1.001715,4628605
2022-10-24,1.005568,1.015023,0.950046,0.957984,0.957984,4739006
2022-10-25,0.957949,1.017903,0.952957,0.979157,0.979157,6447340
2022-10-26,0.979013,1.155241,0.977811,1.116389,1.116389,10497079
2022-10-27,1.116627,1.163791,1.045423,1.045423,1.045423,6800397
2022-10-28,1.044707,1.202779,1.025240,1.189024,1.189024,10244480
2022-10-29,1.188882,1.322217,1.159544,1.185564,1.185564,14300732
2022-10-30,1.185564,1.243765,1.086280,1.140585,1.140585,6785056
2022-10-31,1.140493,1.162521,1.093946,1.105936,1.105936,6121559
2022-11-01,1.106071,1.143549,1.088333,1.104973,1.104973,4484476
2022-11-02,1.104619,1.154716,1.034534,1.062042,1.062042,7441536
2022-11-03,1.062062,1.104555,1.014439,1.018638,1.018638,4053569
2022-11-04,1.018755,1.090478,1.018755,1.062679,1.062679,4837265
2022-11-05,1.061656,1.185432,1.061656,1.135502,1.135502,7503482
2022-11-06,1.135735,1.148513,1.081479,1.081524,1.081524,3236904
2022-11-07,1.082552,1.101720,1.024177,1.036704,1.036704,4533869
2022-11-08,1.036519,1.070780,0.802371,0.832607,0.832607,15345634
2022-11-09,0.832430,0.853418,0.606129,0.636308,0.636308,13372770
2022-11-10,0.635619,0.821920,0.629638,0.722546,0.722546,18038965
2022-11-11,0.722338,0.735556,0.671060,0.701301,0.701301,5165583
2022-11-12,0.700894,0.718144,0.672047,0.689032,0.689032,4259795
2022-11-13,0.689316,0.695532,0.607216,0.615116,0.615116,2859645
2022-11-14,0.615347,0.684110,0.608564,0.645805,0.645805,6594767
2022-11-15,0.646031,0.690767,0.643762,0.670679,0.670679,5202521
2022-11-16,0.670549,0.691594,0.642075,0.682818,0.682818,7314704
2022-11-17,0.682317,0.686567,0.661793,0.677263,0.677263,5577412
2022-11-18,0.677666,0.717033,0.667011,0.680960,0.680960,7790619
2022-11-19,0.680996,0.699333,0.675907,0.696298,0.696298,4847267
2022-11-20,0.695831,0.701711,0.654966,0.658895,0.658895,5509496
2022-11-21,0.658745,0.658765,0.630287,0.632916,0.632916,3272529
2022-11-22,0.633302,0.650049,0.604510,0.629224,0.629224,4246061
2022-11-23,0.629235,0.672825,0.628058,0.672267,0.672267,2800384
2022-11-24,0.672044,0.684498,0.664320,0.666784,0.666784,2846539
2022-11-25,0.666870,0.713922,0.649369,0.689104,0.689104,3524700
2022-11-26,0.689114,0.740184,0.688663,0.707823,0.707823,3335564
2022-11-27,0.707853,0.735117,0.706846,0.713882,0.713882,2211801
2022-11-28,0.713713,0.716172,0.680560,0.688975,0.688975,2279899
2022-11-29,0.688772,0.745979,0.685849,0.727967,0.727967,3884637
2022-11-30,0.727890,0.804888,0.726437,0.798829,0.798829,4920790
2022-12-01,0.798821,0.817726,0.769501,0.786489,0.786489,4730310
2022-12-02,0.786879,0.849864,0.786292,0.847001,0.847001,3877934
2022-12-03,0.847058,0.937414,0.829429,0.891250,0.891250,5937344
2022-12-04,0.891914,0.937128,0.889165,0.902258,0.902258,3410936
2022-12-05,0.902404,0.979487,0.886498,0.935330,0.935330,5724555
2022-12-06,0.935697,0.960401,0.880162,0.897776,0.897776,2883375
2022-12-07,0.897981,0.898525,0.820890,0.857187,0.857187,5046172
2022-12-08,0.856672,0.870750,0.832784,0.853127,0.853127,4948316
2022-12-09,0.853102,0.857003,0.809022,0.813608,0.813608,3120777
2022-12-10,0.813236,0.823174,0.796514,0.797778,0.797778,1810471
2022-12-11,0.797763,0.819939,0.796568,0.806133,0.806133,1922373
2022-12-12,0.806026,0.806026,0.719706,0.770070,0.770070,6694753
2022-12-13,0.770685,0.846691,0.750235,0.817089,0.817089,4071091
2022-12-14,0.817857,0.899373,0.816434,0.866674,0.866674,5496868
2022-12-15,0.867983,0.869353,0.795187,0.816689,0.816689,3716135
2022-12-16,0.816422,0.833103,0.725058,0.726670,0.726670,4280241
2022-12-17,0.726084,0.736900,0.697478,0.727481,0.727481,3382350
2022-12-18,0.727539,0.979402,0.727345,0.906529,0.906529,25096131
2022-12-19,0.906235,0.926460,0.770562,0.779242,0.779242,11399119
2022-12-20,0.779842,0.828049,0.778095,0.801638,0.801638,3298749
2022-12-21,0.801547,0.812428,0.776528,0.779004,0.779004,2267054
2022-12-22,0.779174,0.805072,0.756138,0.801794,0.801794,3867038
2022-12-23,0.801159,0.804477,0.770484,0.785532,0.785532,3179453
2022-12-24,0.785407,0.823857,0.783727,0.820478,0.820478,2505723
2022-12-25,0.820528,0.826511,0.792211,0.803752,0.803752,1803092
2022-12-26,0.803729,0.829145,0.803075,0.811130,0.811130,2890812
2022-12-27,0.811705,0.815497,0.792799,0.803007,0.803007,1905331
2022-12-28,0.802881,0.804333,0.774270,0.779967,0.779967,2600880
2022-12-29,0.779800,0.825029,0.779800,0.813755,0.813755,3024840
2022-12-30,0.814086,0.887592,0.809341,0.864894,0.864894,3959540
2022-12-31,0.865852,0.889325,0.847066,0.873204,0.873204,3081557
2023-01-01,0.873167,0.884950,0.871360,0.875128,0.875128,2698262
2023-01-02,0.875128,0.896936,0.848196,0.885427,0.885427,3478940
2023-01-03,0.885277,0.920559,0.876398,0.891408,0.891408,3685483
2023-01-04,0.891408,1.008297,0.888554,1.002247,1.002247,7788097
2023-01-05,1.003248,1.121682,1.003115,1.107043,1.107043,10073882
2023-01-06,1.106957,1.153916,1.027724,1.076494,1.076494,8405723
2023-01-07,1.076788,1.115557,1.074262,1.096657,1.096657,4115098
2023-01-08,1.096954,1.147872,1.081236,1.144801,1.144801,5111935
2023-01-09,1.143219,1.187285,1.115584,1.126708,1.126708,6450506
2023-01-10,1.127039,1.194103,1.109614,1.181390,1.181390,6602855
2023-01-11,1.181283,1.183491,1.139502,1.183491,1.183491,4718188
2023-01-12,1.189828,1.210309,1.132649,1.187866,1.187866,8153671
2023-01-13,1.187608,1.291339,1.167394,1.290416,1.290416,6648328
2023-01-14,1.291827,1.370042,1.217161,1.245561,1.245561,11032503
2023-01-15,1.245735,1.394230,1.182806,1.349950,1.349950,11877458
2023-01-16,1.349944,1.422219,1.321397,1.377988,1.377988,14709964
2023-01-17,1.377841,1.422709,1.354823,1.405391,1.405391,7467711
2023-01-18,1.403453,1.548560,1.317484,1.355196,1.355196,20965196
2023-01-19,1.355720,1.429230,1.317983,1.415440,1.415440,8057548
2023-01-20,1.415111,1.548568,1.412338,1.540124,1.540124,8066771
2023-01-21,1.540547,1.540778,1.392147,1.392147,1.392147,15474487
2023-01-22,1.393013,1.444529,1.374179,1.391520,1.391520,6200629
